customer_id,age,gender,employment_status,monthly_income,loan_amount,loan_term,loan_purpose,credit_score,bvn_verified,previous_loans,previous_defaults,guarantor_available,region,defaulted
CUST00060,22,Female,Employed,111591,25584,3,Education,469,1,1,1,0,Ibadan,1
CUST00061,44,Male,Employed,129008,438053,18,Rent,621,1,0,0,1,Ibadan,0
CUST00062,32,Female,Self-employed,131987,125697,9,Business,606,1,2,0,0,Abuja,0
CUST00063,40,Female,Unemployed,60788,62514,6,Education,711,1,1,0,0,Ibadan,1
CUST00064,34,Female,Employed,130602,68683,18,Medical,491,1,2,1,0,Enugu,1
CUST00065,51,Male,Self-employed,183379,286584,9,Business,739,1,0,0,1,Lagos,0
CUST00066,23,Male,Unemployed,16014,59873,9,Travel,656,0,0,0,0,Abuja,1
CUST00067,48,Female,Self-employed,106958,459523,9,Travel,690,0,2,1,1,Port Harcourt,0
CUST00068,43,Female,Employed,177990,101651,3,Education,523,1,1,0,0,Kano,0
CUST00069,55,Male,Employed,115825,245758,9,Rent,626,1,0,0,0,Enugu,0
CUST00070,19,Female,Self-employed,140251,134773,12,Travel,542,1,2,0,0,Enugu,0
CUST00071,31,Female,Employed,134747,463960,3,Business,475,1,0,0,1,Enugu,0
CUST00072,47,Male,Employed,136727,125488,9,Travel,645,1,1,0,1,Ibadan,0
CUST00073,57,Male,Student,16617,157675,6,Business,376,1,1,1,0,Kano,1
CUST00074,57,Female,Employed,157260,221448,9,Rent,446,1,2,1,1,Enugu,0
CUST00075,44,Male,Employed,135378,162743,9,Travel,640,1,1,0,1,Port Harcourt,0
CUST00076,50,Male,Self-employed,103481,195622,6,Rent,505,1,1,0,1,Port Harcourt,0
CUST00077,19,Male,Self-employed,101090,287099,9,Education,586,1,3,0,1,Enugu,0
CUST00078,29,Male,Unemployed,27311,365786,6,Business,556,1,0,0,1,Port Harcourt,1
CUST00079,59,Male,Student,16986,43771,6,Rent,730,0,0,0,1,Port Harcourt,1
CUST00080,54,Female,Unemployed,30557,299724,6,Rent,709,1,0,0,1,Lagos,1
CUST00081,58,Male,Student,18949,433123,9,Medical,505,1,1,1,1,Lagos,1
CUST00082,41,Female,Unemployed,18057,26600,18,Education,627,1,1,0,0,Enugu,0
CUST00083,34,Female,Employed,126026,498468,3,Medical,583,1,1,1,0,Abuja,0
CUST00084,49,Female,Employed,217694,195085,3,Travel,542,1,1,1,1,Port Harcourt,1
CUST00085,47,Female,Unemployed,18224,99144,12,Travel,620,1,1,0,1,Ibadan,1
CUST00086,40,Male,Student,18715,280344,18,Rent,702,1,0,0,1,Kano,1
CUST00087,54,Male,Student,22502,126709,3,Travel,494,0,0,0,1,Ibadan,1
CUST00088,21,Male,Unemployed,13067,52593,12,Business,509,1,2,1,1,Enugu,1
CUST00089,18,Female,Unemployed,24772,137117,3,Medical,704,1,1,0,1,Ibadan,0
CUST00090,51,Female,Student,18165,487528,9,Education,647,1,0,0,1,Enugu,0
CUST00091,49,Female,Self-employed,85455,141651,6,Education,594,1,1,0,1,Enugu,0
CUST00092,46,Female,Self-employed,78409,19011,18,Travel,522,1,0,0,0,Kano,0
CUST00093,42,Female,Employed,204328,62223,9,Medical,597,0,0,0,1,Abuja,0
CUST00094,24,Female,Unemployed,41861,208146,12,Education,625,1,1,1,0,Port Harcourt,1
CUST00095,43,Male,Student,24122,363551,6,Business,587,1,2,0,1,Kano,1
CUST00096,37,Female,Employed,158506,424739,6,Medical,571,1,0,0,1,Abuja,0
CUST00097,57,Male,Self-employed,98600,347317,3,Business,777,1,0,0,1,Abuja,0
CUST00098,47,Female,Employed,179571,481428,12,Education,540,1,1,0,1,Enugu,0
CUST00099,48,Male,Student,22798,349215,12,Education,708,1,0,0,0,Abuja,0
CUST00100,43,Male,Employed,174554,26633,3,Education,613,1,0,0,1,Abuja,0
CUST00101,35,Male,Student,26783,325827,3,Travel,328,1,0,0,1,Abuja,0
CUST00102,57,Male,Student,10000,290489,6,Education,471,1,1,1,1,Enugu,1
CUST00103,19,Female,Student,23566,401403,18,Travel,604,1,0,0,1,Port Harcourt,0
CUST00104,33,Female,Self-employed,82179,216464,12,Education,745,1,0,0,0,Kano,0
CUST00105,21,Male,Unemployed,36672,145860,18,Education,761,1,0,0,0,Enugu,1
CUST00106,54,Male,Unemployed,39843,472918,12,Business,578,1,1,1,0,Enugu,0
CUST00107,27,Female,Self-employed,94871,27998,9,Medical,549,1,3,1,1,Kano,1
CUST00108,59,Male,Self-employed,26767,498204,6,Rent,850,1,1,1,0,Port Harcourt,0
CUST00109,54,Male,Self-employed,75488,445486,3,Education,561,1,3,0,1,Port Harcourt,0
CUST00110,25,Female,Student,18822,270975,12,Business,610,1,0,0,1,Abuja,1
CUST00111,49,Female,Student,24537,289946,18,Business,603,1,2,1,1,Ibadan,1
CUST00112,58,Female,Student,14155,465744,3,Medical,525,0,1,1,1,Kano,1
CUST00113,48,Female,Student,19164,174208,18,Travel,614,1,0,0,1,Ibadan,0
CUST00114,56,Male,Student,23262,66763,6,Medical,410,1,0,0,0,Port Harcourt,1
CUST00115,24,Female,Employed,166140,177517,12,Medical,604,1,1,1,1,Enugu,1
CUST00116,44,Female,Self-employed,119616,357200,12,Rent,539,1,0,0,1,Ibadan,0
CUST00117,46,Male,Student,30102,301253,18,Travel,526,1,0,0,0,Enugu,0
CUST00118,28,Male,Employed,133344,144077,12,Rent,788,1,1,0,1,Port Harcourt,0
CUST00119,49,Male,Employed,157314,330710,9,Education,543,1,1,0,1,Kano,0
CUST00120,37,Male,Student,12372,492149,9,Medical,530,1,1,0,0,Port Harcourt,1
CUST00121,29,Female,Student,14183,276184,9,Business,850,0,0,0,0,Port Harcourt,1
CUST00122,24,Male,Employed,121668,25937,9,Rent,632,1,2,0,0,Enugu,0
CUST00123,53,Male,Employed,105396,88804,3,Rent,631,1,0,0,1,Abuja,0
CUST00124,34,Male,Self-employed,81907,304010,6,Rent,357,1,3,1,0,Port Harcourt,1
CUST00125,49,Male,Self-employed,99438,113071,12,Medical,561,1,2,1,1,Kano,1
CUST00126,30,Male,Employed,144629,75030,6,Medical,526,1,2,0,0,Lagos,0
CUST00127,20,Male,Unemployed,32105,312136,18,Education,688,1,0,0,1,Port Harcourt,0
CUST00128,37,Male,Employed,181486,49256,18,Rent,546,1,2,1,1,Lagos,0
CUST00129,28,Female,Employed,169508,328644,18,Business,756,1,1,0,1,Kano,0
CUST00130,49,Female,Unemployed,59650,362408,3,Travel,590,1,3,1,0,Enugu,1
CUST00131,50,Female,Employed,139901,480782,12,Education,635,1,3,1,1,Lagos,0
CUST00132,58,Female,Unemployed,46839,248467,12,Rent,554,1,2,1,1,Port Harcourt,1
CUST00133,35,Male,Unemployed,43768,74468,18,Travel,677,1,1,0,1,Port Harcourt,1
CUST00134,22,Female,Student,19463,57722,18,Medical,526,1,1,0,0,Kano,1
CUST00135,42,Male,Employed,111159,389001,9,Education,716,0,2,0,0,Abuja,0
CUST00136,27,Female,Student,15565,230222,9,Business,642,1,1,0,0,Port Harcourt,0
CUST00137,54,Female,Self-employed,159787,355638,12,Rent,617,1,2,0,1,Kano,0
CUST00138,54,Female,Unemployed,28690,467598,9,Travel,496,1,1,0,1,Enugu,0
CUST00139,51,Female,Employed,103666,265647,18,Rent,650,1,1,0,0,Lagos,0
CUST00140,25,Male,Student,16881,435389,12,Travel,791,0,4,1,1,Abuja,1
CUST00141,29,Female,Student,20991,460152,12,Business,574,1,3,1,0,Lagos,1
CUST00142,26,Female,Self-employed,86619,151455,12,Rent,620,0,3,2,1,Kano,1
CUST00143,28,Female,Student,12654,328046,18,Travel,510,1,2,0,1,Kano,1
CUST00144,49,Female,Unemployed,17068,45866,9,Education,539,1,2,0,1,Kano,1
CUST00145,23,Female,Unemployed,13693,243580,6,Business,617,1,2,1,1,Enugu,1
CUST00146,33,Male,Unemployed,37589,129306,3,Travel,628,1,0,0,0,Enugu,1
CUST00147,21,Male,Self-employed,65177,160572,6,Education,501,1,1,0,1,Kano,1
CUST00148,21,Female,Employed,152743,70379,6,Medical,731,1,1,0,1,Abuja,0
CUST00149,53,Female,Self-employed,67095,409716,9,Business,584,1,1,0,1,Enugu,0
CUST00150,45,Male,Unemployed,22980,309380,3,Business,533,1,2,0,1,Ibadan,1
CUST00151,36,Female,Self-employed,117422,406669,12,Business,689,1,0,0,0,Lagos,0
CUST00152,51,Female,Student,32340,97438,12,Education,410,1,0,0,1,Kano,1
CUST00153,30,Male,Employed,147351,494014,9,Education,850,0,1,0,1,Lagos,0
CUST00154,56,Male,Student,25213,305577,12,Business,548,1,2,1,1,Ibadan,1
CUST00155,50,Male,Self-employed,74028,44017,6,Travel,477,1,0,0,0,Kano,0
CUST00156,55,Male,Self-employed,167585,123106,3,Travel,687,1,0,0,0,Port Harcourt,0
CUST00157,52,Male,Student,18697,39469,12,Education,772,1,1,0,0,Kano,0
CUST00158,47,Female,Unemployed,45834,180310,18,Travel,569,1,2,0,0,Lagos,0
CUST00159,57,Male,Self-employed,69868,339063,6,Medical,678,0,0,0,1,Enugu,0
CUST00160,29,Male,Self-employed,128324,27718,6,Rent,695,1,0,0,0,Ibadan,0
CUST00161,26,Male,Self-employed,152402,147054,3,Education,603,1,1,1,1,Port Harcourt,0
CUST00162,59,Female,Unemployed,10000,274468,3,Rent,602,1,1,1,0,Kano,1
CUST00163,31,Female,Student,19125,95027,3,Rent,524,1,0,0,1,Kano,0
CUST00164,42,Male,Student,10154,307121,3,Travel,578,0,2,2,1,Abuja,1
CUST00165,51,Male,Unemployed,35077,221923,6,Business,605,1,1,0,1,Lagos,1
CUST00166,19,Male,Unemployed,20334,40061,18,Travel,641,1,1,1,0,Kano,1
CUST00167,26,Female,Employed,113076,46568,12,Medical,573,1,0,0,1,Enugu,0
CUST00168,21,Female,Unemployed,14657,315708,18,Travel,691,1,1,1,1,Port Harcourt,1
CUST00169,24,Female,Employed,91680,96674,18,Business,850,1,1,0,1,Port Harcourt,0
CUST00170,38,Female,Unemployed,24537,272301,3,Business,639,1,0,0,1,Abuja,0
CUST00171,49,Male,Unemployed,20058,278500,18,Business,596,1,1,0,0,Abuja,1
CUST00172,35,Female,Student,10000,203293,9,Rent,555,1,4,2,1,Ibadan,1
CUST00173,27,Female,Student,19561,392773,3,Education,615,1,1,0,0,Kano,0
CUST00174,40,Female,Unemployed,18087,371342,9,Business,606,1,1,0,1,Abuja,1
CUST00175,41,Female,Student,10000,236353,12,Medical,618,1,3,1,1,Enugu,0
CUST00176,25,Female,Employed,179881,316085,12,Business,524,1,0,0,1,Kano,0
CUST00177,58,Female,Unemployed,29728,448949,3,Education,657,1,0,0,0,Ibadan,0
CUST00178,49,Male,Student,23729,331674,12,Business,659,0,0,0,0,Abuja,1
CUST00179,31,Female,Student,30281,472107,12,Business,489,1,0,0,1,Abuja,1
CUST00180,52,Female,Self-employed,51501,440841,9,Education,713,1,1,0,1,Enugu,0
CUST00181,24,Female,Employed,183743,141972,3,Travel,520,1,1,0,0,Abuja,0
CUST00182,32,Male,Unemployed,42382,369072,18,Business,602,1,1,0,1,Ibadan,0
CUST00183,56,Female,Employed,180058,222562,6,Business,620,0,2,1,0,Port Harcourt,1
CUST00184,59,Male,Self-employed,48258,373750,12,Medical,707,1,2,1,1,Ibadan,0
CUST00185,29,Female,Student,16075,479456,12,Education,664,1,0,0,0,Abuja,0
CUST00186,54,Female,Self-employed,88496,325248,12,Rent,505,1,0,0,1,Ibadan,1
CUST00187,56,Male,Employed,184996,55565,9,Education,542,1,1,0,1,Kano,0
CUST00188,21,Female,Employed,149400,303690,9,Medical,533,1,0,0,1,Ibadan,1
CUST00189,41,Female,Self-employed,144636,356763,12,Travel,535,1,1,0,0,Port Harcourt,0
CUST00190,35,Female,Unemployed,24173,402669,18,Travel,582,1,1,0,1,Port Harcourt,0
CUST00191,44,Female,Unemployed,38500,475653,6,Rent,687,1,2,1,1,Ibadan,1
CUST00192,23,Female,Self-employed,24161,470932,12,Business,617,1,2,0,1,Kano,0
CUST00193,22,Female,Student,24546,34422,12,Rent,742,1,2,0,0,Port Harcourt,1
CUST00194,48,Male,Self-employed,97850,16567,18,Travel,681,1,0,0,0,Kano,0
CUST00195,31,Male,Student,15798,382105,3,Travel,507,1,1,0,0,Port Harcourt,1
CUST00196,38,Male,Self-employed,10000,180198,12,Rent,688,1,0,0,1,Lagos,0
CUST00197,24,Female,Unemployed,41597,395979,9,Travel,562,1,2,1,0,Enugu,1
CUST00198,42,Female,Employed,131779,53531,9,Travel,762,1,2,0,1,Port Harcourt,0
CUST00199,34,Female,Student,13310,424990,18,Business,655,1,0,0,0,Ibadan,1
CUST00200,33,Male,Self-employed,170794,277261,9,Rent,496,0,2,0,1,Enugu,1
CUST00201,24,Male,Student,20642,381628,3,Business,706,1,0,0,1,Port Harcourt,1
CUST00202,31,Male,Unemployed,27081,492644,3,Business,443,1,0,0,1,Kano,0
CUST00203,50,Male,Unemployed,42645,192247,9,Medical,553,1,1,0,0,Port Harcourt,1
CUST00204,25,Male,Self-employed,136769,293020,18,Education,533,1,1,1,1,Ibadan,1
CUST00205,37,Male,Self-employed,50847,310601,6,Business,621,1,1,0,1,Ibadan,0
CUST00206,25,Female,Self-employed,111919,84531,12,Travel,676,1,1,1,1,Abuja,0
CUST00207,33,Male,Student,19954,69992,9,Education,630,1,0,0,1,Kano,0
CUST00208,44,Male,Student,16982,24388,9,Travel,627,1,0,0,1,Abuja,1
CUST00209,26,Male,Student,20842,358018,9,Travel,731,1,2,0,1,Kano,0
CUST00210,45,Female,Unemployed,13760,65342,12,Medical,616,0,1,1,1,Abuja,1
CUST00211,28,Female,Student,26085,182663,3,Rent,752,1,2,0,1,Port Harcourt,1
CUST00212,57,Female,Unemployed,34695,495953,9,Business,499,0,0,0,1,Enugu,1
CUST00213,32,Female,Unemployed,40286,469769,3,Travel,468,1,3,2,1,Enugu,1
CUST00214,44,Male,Student,12195,121097,9,Rent,457,1,0,0,1,Ibadan,1
CUST00215,42,Female,Self-employed,83775,483459,6,Travel,593,0,4,3,1,Kano,0
CUST00216,36,Male,Employed,161018,57301,3,Medical,783,1,0,0,0,Port Harcourt,0
CUST00217,52,Male,Unemployed,37454,303416,6,Business,511,0,2,0,1,Kano,1
CUST00218,33,Female,Student,23671,26988,6,Rent,535,1,3,2,1,Abuja,1
CUST00219,26,Female,Unemployed,32651,416350,6,Medical,664,1,1,0,0,Port Harcourt,1
CUST00220,32,Female,Unemployed,38858,227256,3,Education,623,1,2,0,1,Lagos,1
CUST00221,39,Male,Self-employed,64160,241719,12,Travel,506,1,0,0,1,Kano,1
CUST00222,29,Male,Student,24032,127039,3,Medical,620,1,1,0,1,Ibadan,1
CUST00223,37,Male,Student,20412,12697,9,Medical,454,0,0,0,0,Ibadan,1
CUST00224,38,Female,Unemployed,15492,204430,3,Rent,568,0,0,0,0,Port Harcourt,0
CUST00225,38,Male,Unemployed,31035,438369,18,Rent,383,1,2,0,0,Enugu,1
CUST00226,29,Male,Student,21719,136504,9,Education,676,1,0,0,1,Lagos,0
CUST00227,42,Male,Employed,135508,136227,3,Medical,614,0,2,0,1,Port Harcourt,0
CUST00228,36,Male,Employed,183961,451157,6,Travel,819,1,0,0,1,Abuja,0
CUST00229,27,Female,Student,25880,14964,9,Travel,426,1,3,0,1,Port Harcourt,1
CUST00230,33,Male,Student,21584,229938,3,Education,790,0,1,1,0,Ibadan,1
CUST00231,41,Female,Unemployed,39694,349321,3,Medical,642,1,1,0,1,Abuja,1
CUST00232,51,Female,Student,15355,293840,6,Medical,384,1,0,0,0,Lagos,1
CUST00233,53,Female,Unemployed,35768,260723,3,Education,360,0,1,1,1,Kano,1
CUST00234,27,Male,Employed,189309,176896,12,Business,739,0,1,0,1,Enugu,0
CUST00235,29,Male,Employed,121854,92006,3,Medical,614,1,0,0,1,Abuja,0
CUST00236,43,Male,Self-employed,56074,21442,3,Travel,563,1,1,1,0,Abuja,0
CUST00237,54,Male,Self-employed,10000,497480,9,Rent,477,1,0,0,0,Ibadan,1
CUST00238,49,Male,Unemployed,35289,85531,6,Rent,396,1,2,0,0,Ibadan,1
CUST00239,38,Female,Self-employed,49541,483544,3,Business,513,1,0,0,0,Abuja,1
CUST00240,51,Male,Unemployed,10000,496985,6,Travel,571,1,1,0,0,Kano,1
CUST00241,45,Male,Self-employed,118202,454401,9,Business,676,0,1,0,1,Abuja,1
CUST00242,28,Female,Employed,129644,343570,3,Education,607,1,0,0,1,Port Harcourt,0
CUST00243,49,Female,Employed,92255,250794,12,Travel,592,1,1,0,1,Abuja,0
CUST00244,34,Male,Unemployed,41939,384618,12,Business,566,1,1,0,1,Lagos,1
CUST00245,50,Female,Student,19323,260111,12,Business,700,1,1,0,1,Port Harcourt,0
CUST00246,27,Female,Employed,137701,185770,3,Medical,525,1,0,0,1,Ibadan,1
CUST00247,36,Male,Employed,146288,320124,6,Medical,564,0,0,0,1,Ibadan,0
CUST00248,18,Female,Student,21757,53416,18,Travel,707,1,0,0,1,Kano,1
CUST00249,52,Female,Student,30547,292749,3,Business,678,1,0,0,1,Enugu,0
CUST00250,34,Male,Student,27275,356472,12,Rent,600,0,0,0,0,Port Harcourt,1
CUST00251,56,Female,Student,12036,84641,12,Education,524,1,0,0,1,Enugu,1
CUST00252,47,Male,Unemployed,30599,185328,12,Medical,627,1,0,0,1,Enugu,1
CUST00253,27,Female,Unemployed,32192,322174,6,Education,728,1,1,0,0,Lagos,0
CUST00254,21,Male,Employed,161772,142990,3,Education,549,1,0,0,1,Lagos,1
CUST00255,29,Female,Self-employed,65189,102629,18,Business,578,1,3,1,0,Ibadan,0
CUST00256,46,Female,Employed,155547,434608,12,Medical,494,1,2,0,1,Enugu,0
CUST00257,34,Female,Employed,148033,199947,9,Travel,798,1,1,0,1,Kano,0
CUST00258,50,Female,Employed,130251,341293,18,Travel,560,1,0,0,1,Abuja,0
CUST00259,34,Male,Student,22039,255196,6,Business,587,1,1,0,0,Kano,1
CUST00260,58,Female,Employed,156597,213740,9,Travel,467,1,1,1,1,Abuja,0
CUST00261,40,Female,Employed,103387,76934,18,Medical,681,1,1,0,0,Lagos,0
CUST00262,18,Male,Unemployed,26713,190215,9,Medical,660,0,0,0,0,Kano,0
CUST00263,30,Male,Self-employed,38987,19470,6,Travel,486,0,1,0,1,Enugu,1
CUST00264,41,Female,Employed,168510,30411,6,Business,636,1,1,0,0,Lagos,0
CUST00265,29,Male,Student,23364,68901,12,Education,659,1,0,0,1,Kano,0
CUST00266,29,Male,Unemployed,31647,425059,9,Medical,605,0,3,1,0,Ibadan,1
CUST00267,58,Male,Employed,154504,241966,6,Rent,663,0,3,1,1,Ibadan,0
CUST00268,49,Male,Employed,143828,120436,9,Education,534,0,0,0,1,Enugu,0
CUST00269,28,Female,Student,20106,454146,18,Education,637,0,3,1,1,Port Harcourt,1
CUST00270,43,Female,Self-employed,66594,75794,18,Business,808,1,1,0,1,Kano,0
CUST00271,55,Female,Employed,110772,234712,9,Travel,619,1,3,0,1,Port Harcourt,0
CUST00272,48,Female,Employed,151438,137175,6,Education,633,1,1,0,1,Ibadan,0
CUST00273,46,Male,Employed,150800,488880,6,Medical,657,1,0,0,1,Abuja,0
CUST00274,18,Male,Unemployed,44858,480482,9,Medical,577,1,3,1,1,Lagos,0
CUST00275,38,Male,Student,16521,425540,12,Rent,491,1,0,0,0,Abuja,1
CUST00276,30,Female,Self-employed,99711,261232,18,Travel,661,1,1,0,0,Enugu,0
CUST00277,43,Female,Employed,185758,132990,12,Business,540,1,0,0,0,Port Harcourt,1
CUST00278,37,Male,Student,20071,118217,3,Medical,504,0,0,0,1,Ibadan,1
CUST00279,46,Female,Student,28417,286029,12,Medical,547,1,0,0,0,Lagos,1
CUST00280,24,Female,Employed,140521,383923,9,Rent,710,1,2,0,0,Ibadan,0
CUST00281,45,Female,Unemployed,16188,154668,3,Education,738,1,1,1,0,Lagos,1
CUST00282,46,Male,Student,23401,84281,18,Education,719,1,1,0,0,Ibadan,1
CUST00283,58,Male,Student,16621,486808,9,Medical,603,1,0,0,0,Abuja,1
CUST00284,21,Female,Self-employed,148694,425728,3,Travel,682,1,0,0,1,Enugu,0
CUST00285,31,Male,Self-employed,85655,499776,9,Medical,517,1,0,0,1,Enugu,1
CUST00286,33,Male,Self-employed,103412,357567,3,Rent,519,0,3,0,1,Kano,1
CUST00287,42,Male,Self-employed,106880,392558,18,Rent,494,1,0,0,1,Enugu,1
CUST00288,32,Male,Self-employed,87173,461287,12,Education,779,1,2,1,0,Ibadan,0
CUST00289,23,Female,Unemployed,20579,68248,9,Rent,645,1,1,0,0,Port Harcourt,0
CUST00290,53,Male,Student,23477,198333,12,Medical,684,0,1,1,1,Kano,1
CUST00291,21,Male,Unemployed,30539,356034,18,Business,850,1,1,0,1,Kano,1
CUST00292,52,Female,Student,20935,341804,3,Business,622,1,0,0,1,Kano,1
CUST00293,31,Female,Employed,183347,418086,3,Travel,793,1,0,0,0,Ibadan,0
CUST00294,28,Female,Student,18167,468147,18,Travel,471,1,2,0,0,Enugu,1
CUST00295,39,Male,Student,17838,193221,18,Rent,583,1,2,0,1,Kano,0
CUST00296,37,Female,Self-employed,61449,221689,3,Education,504,1,0,0,0,Lagos,0
CUST00297,22,Female,Employed,151316,103009,18,Rent,637,1,0,0,0,Lagos,0
CUST00298,51,Male,Student,11262,150856,12,Travel,587,1,2,0,1,Ibadan,1
CUST00299,37,Male,Unemployed,46734,327767,9,Medical,734,1,0,0,0,Port Harcourt,0
CUST00300,50,Female,Unemployed,38564,267620,18,Business,776,1,0,0,0,Enugu,1
CUST00301,32,Female,Employed,106664,34739,9,Business,743,1,1,0,1,Ibadan,0
CUST00302,26,Female,Unemployed,26146,339505,9,Travel,642,1,0,0,1,Abuja,1
CUST00303,38,Female,Employed,146055,136768,18,Rent,682,1,1,0,1,Kano,0
CUST00304,59,Female,Student,15211,330457,6,Travel,664,1,0,0,0,Enugu,1
CUST00305,22,Male,Unemployed,20268,115518,18,Education,412,1,1,0,1,Enugu,1
CUST00306,53,Female,Self-employed,103038,108138,18,Business,674,1,2,0,0,Enugu,0
CUST00307,23,Female,Unemployed,24036,433944,3,Medical,707,1,1,1,1,Kano,0
CUST00308,55,Male,Self-employed,35385,328167,9,Education,396,1,0,0,0,Abuja,1
CUST00309,30,Male,Self-employed,101015,37526,6,Business,408,1,1,1,1,Kano,0
